253, 33,14
253, 35,12
253, 35,12
253, 35,12
253, 30,17
253, 19,28
253, 19,28
253, 19,28
253, 19,28
253, 19,28
253, 43,4
253, 46,1
253, 46,1
253, 46,1
253, 46,1
253, 35,12
253, 35,12
253, 35,12
253, 28,19
253, 28,19
253, 28,19
253, 28,19
253, 19,28
253, 19,28
253, 19,28
253, 1,46
253, 28,19
253, 28,19
253, 23,24
253, 1,46
253, 23,24
253, 30,17
253, 1,46
253, 30,17
253, 19,28
253, 1,46
253, 43,4
253, 24,23
263, 33,4
263, 14,23
263, 14,23
263, 14,23
263, 7,30
263, 7,30
263, 7,30
263, 30,7
263, 30,7
263, 30,7
263, 19,18
263, 19,18
263, 7,30
263, 7,30
263, 18,19
263, 18,19
263, 19,18
263, 7,30
263, 7,30
263, 13,24
263, 18,19
263, 7,30
263, 7,30
263, 13,24
263, 12,25
263, 12,25
263, 12,25
263, 25,12
263, 25,12
263, 12,25
263, 12,25
263, 25,12
263, 12,25
210, 33,57
210, 33,57
210, 72,18
210, 72,18
210, 14,76
210, 7,83
210, 47,43
210, 47,43
210, 7,83
210, 86,4
210, 28,62
210, 53,37
210, 28,62
210, 7,83
210, 86,4
210, 28,62
210, 28,62
210, 58,32
210, 65,25
210, 65,25
210, 65,25
210, 13,77
210, 13,77
210, 13,77
210, 23,67
210, 7,83
210, 73,17
210, 23,67
210, 13,77
210, 13,77
210, 13,77
210, 12,78
210, 78,12
210, 78,12
210, 67,23
210, 45,45
210, 45,45
210, 28,62
210, 45,45
103, 170,27
103, 121,76
103, 160,37
103, 72,125
103, 72,125
103, 72,125
103, 14,183
103, 7,190
103, 7,190
103, 165,32
103, 143,54
103, 35,162
103, 106,91
103, 106,91
103, 30,167
103, 7,190
103, 7,190
103, 18,179
103, 70,127
103, 70,127
103, 43,154
103, 43,154
103, 86,111
103, 90,107
103, 90,107
103, 11,186
103, 91,106
103, 151,46
103, 151,46
103, 129,68
103, 129,68
103, 129,68
103, 46,151
103, 59,138
103, 16,181
103, 165,32
103, 162,35
103, 54,143
103, 54,143
103, 53,144
103, 53,144
103, 7,190
103, 7,190
103, 68,129
